regulation_project_id;Срок, в течение которого разработчиком принимались предложения в связи с размещением уведомления о подготовке проекта акта
101654;уведомление не размещалось
101656;-
101656;-
101657;нет
101657;нет
101673; 
101673; 
101681;-
101681;-
101683;06.05.2020
101683;20.05.2020
101687;06.05.2020
101687;13.05.2020
101688;06.05.2020
101688;13.05.2020
101693;-
101693;-
101694;-
101694;-
101699;-
101699;-
101703;-
101703;-
101709;-
101709;-
101717;-
101717;-
101723;Отсутствует
101723; Отсутствует
101730;7 мая 2020 г.
101730;21 мая 2020 г.
101732;07.05.2020
101732;17.05.2020
101736;-
101736;-
101738;06.05.2020
101738;18.05.2020
101739;07.05.2020
101739;21.05.2020
101740;-
101740;-
101760;07.05.2020
101760;05.06.2020
101764;-
101764;-
101765;-
101765;-
101766;-
101766;-
101767;-
101767;-
101771; 
101771; 
101773;-
101773;-
101774;Уведомление не размещалось
101774;Уведомление не размещалось
101775;-
101775;-
101777;Уведомление не размещалось
101777;Уведомление не размещалось
101778;08.05.2020
101778;28.05.2020
101780;08.05.2020
101780;28.05.2020
101783;-
101783;-
101790;-
101790;-
101794;-
101794;-
101795; 
101795; 
101803;не размещалось
101803;не размещалось
101806;-
101806;-
101812;-
101812;-
101818; 
101818; 
101821;Уведомление не размещалось
101821;Уведомление не размещалось
101823;-
101823;-
101826;-
101826;-
101833;---
101833;---
101834;12.05.2020
101834;25.05.2020
101835;-
101835;-
101839;-
101839;-
101848;-
101848;-
101849;-
101849;-
101850;-
101850;-
101853;-
101853;-
101858;Уведомление не размещалось
101858;Уведомление не размещалось
101864;-
101864;-
101869;13.05.2020
101869;27.05.2020
101871;13.05.2020
101871;26.05.2020
101874;13 мая 2020 г.
101874;26 мая 2020 г.
101875;Этап уведомления отсутствует
101875;Этап уведомления отсутствует
101883;отсутствует 
101883;отсутствует 
101892;-
101892;-
101893;Уведомление по решению разработчика не проводилось
101893;Уведомление по решению разработчика не проводилось
101894; 
101894; 
101895;-
101895;-
101896;-
101896;-
101910;-
101910;-
101913;-
101913;-
101928; 
101928; 
101929;нет
101929;нет
101930;14.05.2020
101930;28.05.2020
101931;-
101931;-
101933;-
101933;-
101935;_
101935;_
101939;-
101939;-
101941;-
101941;-
101942;Нет
101942;Нет
101945;Уведомление не размещалось
101945;Уведомление не размещалось
101946;-
101946;-
101949; 
101949; 
101955;нет
101955;нет
101959;Уведомление по решению разработчика не проводилось
101959;Уведомление по решению разработчика не проводилось
101962;Отсутствует
101962;Отсутствует
101963;15.05.2020
101963;28.05.2020
101967;-
101967;-
101973;-
101973;-
101974;-
101974;-
101977;15.05.2020
101977;28.05.2020
101987;отсутствует
101987;Отсутствует
101988;15.05.2020
101988;28.05.2020
101989;15.05.2020
101989;28.05.2020
101992;15.05.2020
101992;28.05.2020
101996;15.05.2020
101996;28.05.2020
101997;15.05.2020 
101997;28.05.2020 
102008;отсутствует
102008;отсутсвует
102013;нет
102013;нет
102015;-
102015;-
102016;-
102016;-
102017;-
102017;-
102030;-
102030;-
102031;обсуждение уведомления не проводилось
102031;обсуждение уведомления не проводилось
102041;не размещалось
102041;не размещалось
102042;отсутствует
102042;отсутствует
102047;нет
102047;нет
102050; 
102050; 
102052;21.05.2020
102052;09.06.2020
102062;18.05.2020
102062;15.06.2020
102063;отсутствует
102063;отсутствует
102069;Уведомление не размещалось
102069;Уведомление не размещалось
102070;-
102070;-
102072;-
102072;-
102073;-
102073;-
102075;-
102075;-
102076; -
102076; -
102078;Этап уведомления отсутствует
102078;Этап уведомления отсутствует
102080;не размещалось
102080;не размещалось
102082;-
102082;-
102083;Уведомление не размещалось
102083;Уведомление не размещалось
102096;уведомление не размещалось
102096;уведомление не размещалось
102101;---
102101;---
102105;нет
102105;нет
102106;Отсутствует
102106;Отсутствует
102109;нет
102109;нет
102117;Уведомление в информационно-телекоммуникационной сети «Интернет» не размещалось.
102117;Уведомление в информационно-телекоммуникационной сети «Интернет» не размещалось.
102122;уведомление не размещалось
102122;уведомление не размещалось
102123;Отсутствует
102123;Отсутствует
102124;уведомление не размещалось
102124;уведомление не размещалось
102127;Уведомление не размещалось
102127;Уведомление не размещалось
102133;-
102133;-
102140;-
102140;-
102142;Этап уведомления отсутствует.
102142;Этап уведомления отсутствует.
102144;Отсутствует
102144;Отсутствует
102148;-
102148;-
102151;-
102151;-
102154;-
102154;-
102155;-
102155;-
102163;04.04.2019
102163;24.04.2019
102171;-
102171;-
102186;22.05.2020
102186;11.06.2020
102187;-
102187;-
102189;22.05.2020
102189;11.06.2020
102198;22.05.2020
102198;05.06.2020
102205; 
102205; 
102207;22.05.2020
102207;18.06.2020
102208;нет
102208;нет
102210;Уведомление не размещалось
102210;Уведомление не размещалось
102212;-
102212;-
102214;уведомление не размещалось
102214;уведомление не размещалось
102215;Отсутствует
102215;Отсутствует
102217;Нет
102217;Нет
102218;нет
102218;нет
102234;25.05.2020
102234;20.06.2020
102235;отсутствует
102235;отсутствует
102238;-
102238;-
102249;-
102249;-
102250;Отсутствует
102250;Отсутствует
102252;нет
102252;нет
102269;-
102269;-
102271;31.03.2020
102271;14.04.2020
102275;26 мая 2020 г.
102275;8 июня 2020 г.
102280;Отсутствует
102280;Отсутствует
102287;Уведомление не размещалось
102287;Уведомление не размещалось
102304;Уведомление в информационно-телекоммуникационной сети «Интернет» не размещалось.
102304;Уведомление в информационно-телекоммуникационной сети «Интернет» не размещалось.
102308;-
102308;-
102311;-
102311;-
102321;27.05.2020
102321;10.06.2020
102325;-
102325;-
102329;Уведомление не размещалось
102329;Уведомление не размещалось
102334;Уведомление не размещалось
102334;Уведомление не размещалось
102337;-
102337;-
102342; 
102342; 
102350;Уведомление не размещалось
102350;Уведомление не размещалось
102353;-
102353;-
102359;отсутствует 
102359;отсутствует 
102362; 
102362; 
102373;отсутствует
102373;отсутствует
102383;28 мая 2020 г. 
102383;18 июня 2020 г
102393;-
102393;-
102401;Уведомление не размещалось
102401;Уведомление не размещалось
102411;-
102411;-
102414;29.05.2020
102414;12.06.2020
102416; 
102416; 
102419;29.05.2020
102419;24.06.2020
102423;нет
102423;нет
102432;19/02/2020
102432;04/03/2020
102435;29.05.2020
102435;12.06.2020
102439;-
102439;-
102447;-
102447;-
102449;29.05.2020
102449;12.06.2020
102452;отсутствуют 
102452;отсутствуют 
102453;-
102453;-
102454;-
102454;-
102476;нет
102476;нет
102478;-
102478;-
102482;01.05.2020
102482;15.06.2020
102492;-
102492;-
102510;нет
102510;нет
102516;01.06.2020
102516;15.06.2020
102517;01.06.2020
102517;15.06.2020 
102518;-
102518;-
102520;-
102520;-
102531;-
102531;-
102533;-
102533;-
102536;-
102536;-
102538;26.02.2020
102538;20.04.2020
102540;-
102540;-
102541;-
102541;-
102549;отсутствует
102549;отсутствует
102551;02.06.2020
102551;26.06.2020
102555;Нет
102555;Нет
102557;нет
102557;нет
102559;02.06.2020
102559;23.06.2020
102563;-
102563;-
102570;-
102570;-
102578;нет
102578;нет
102596;уведомление не размещалось
102596;уведомление не размещалось
102604;-
102604;-
102615;-
102615;-
102625;13.12.2019
102625;10.01.2020
102662;-
102662;-
102664;-
102664;-
102668;Уведомление не проводилось
102668;Уведомление не проводилось
102669;отсутствует
102669;отсутствует
102681;отсутствует
102681;отсутствует
102711;-
102711;-
102724; 
102724; 
102725;8 июня 2020 г. 
102725;29 июня 2020 г.
102730;-
102730;-
102733;отсутствует
102733;отсутствует
102739;-
102739;-
102743;-
102743;-
102744;-
102744;-
102745;-
102745;-
102749;10.06.2020
102749;15.09.2020
102751;29 ноября 2019 г. 
102751;13 декабря 2019 г.
102758;-
102758;-
102760;-
102760;-
102772;-
102772;-
102776;09.06.2020
102776;30.06.2020
102788;-
102788;-
102790;29 ноября 2019 г. 
102790;13 декабря 2019 г.
102792;-
102792;-
102793;09.06.2020
102793;26.06.2020
102795;-
102795;-
102796; 09.06.2020
102796; 26.06.2020
102797;нет.
102797;нет.
102800;-
102800;-
102804;Не требуется 
102804;Не требуется
102809;-
102809;-
102827;нет
102827;нет
102839;-
102839;-
102840;-
102840;-
102842;нет
102842;нет
102863;-
102863;-
102874;нет
102874;нет
102875;нет
102875;нет
102876;нет
102876;нет
102886;15.06.2020
102886;30.06.2020
102898;-
102898;-
102902; 
102902; 
102903;28.12.2017
102903;18/01/2018
102907;Отсутствует
102907;Отсутствует
102910;-
102910;-
102916; 
102916; 
102920; 
102920; 
102921;Отсутствует
102921;Отсутствует
102922;-
102922;-
102923; 
102923; 
102926; 
102926; 
102927; 
102927; 
102928;15.06.2020
102928;24.06.2020
102932;-
102932;-
102934;-
102934;-
102937;-
102937;-
102938;уведомление не проводилось в связи с отсутствием необходимости по решению разработчика
102938;уведомление не проводилось в связи с отсутствием необходимости по решению разработчика
102942;16.06.2020
102942;16.07.2020
102945;-
102945;-
102946;-
102946;-
102947;16.06.2020
102947;16.07.2020
102949;-
102949;-
102955;16.06.2020
102955;09.07.2020
102956;-
102956;-
102957;Уведомление не размещалось
102957;Уведомление не размещалось
102960;-
102960;-
102961;-
102961;-
102969;-
102969;-
102987;не размещалось
102987;не размещалось
102994;апрель 2020
102994;октябрь 2020
103010;17.06.2020
103010;16.07.2020
103012;17.06.2020
103012;26.06.2020
103013;17.06.2020
103013;26.06.2020
103014;информация уточняется
103014;информация уточняется
103048;-
103048;-
103056;-
103056;-
103058;Уведомление не размещалось
103058;Уведомление не размещалось
103060;-
103060;-
103071;-
103071;-
103078;законопроект размещен без предварительного уведомления
103078;законопроект размещен без предварительного уведомления
103086;-
103086;-
103089;Нет
103089;Нет
103090;19.06.2020
103090;20.07.2020
103093; 
103093; 
103094; 
103094; 
103097;-
103097;-
103105;-
103105;-
103108;19 июня 2020 г. 
103108;06 июня 2020 г.
103116;19 июня _20 г.
103116;6 июня_ 20 г.
103136;нет
103136;нет
103137;нет
103137;нет
103139;-
103139;-
103140;-
103140;-
103148;нет
103148;нет
103149;отсутствует
103149;отсутствует
103163;Нет
103163;Нет
103168;-
103168;-
103178;-
103178;-
103179;07.07.2020
103179;20.07.2020
103181;нет.
103181;нет.
103188;Нет
103188;Нет
103199;29.06.2020
103199;17.07.2020
103201;уведомление не проводилось.
103201;уведомление не проводилось.
103204;Этап уведомления отсутствует.
103204;Этап уведомления отсутствует.
103208;-
103208;-
104219;уведомление не проводилось в связи с отсутствием необходимости
104219;уведомление не проводилось в связи с отсутствием необходимости
104221;Нет
104221;Нет
104222;уведомление не размещалось
104222;уведомление не размещалось
104226;уведомление не проводилось в связи с отсутствием необходимости
104226;уведомление не проводилось в связи с отсутствием необходимости
104227;-
104227;-
104236;27.05.2020
104236;10.06.2020
104245;Размещение уведомления не проводилось
104245;Размещение уведомления не проводилось
105264;отсутствуют 
105264;отсутствуют 
105279;Отсутствует
105279;Отсутствует
105280;-
105280;-
105281;Отсутствует
105281;Отсутствует
105282;-
105282;-
105284;Отсутствует
105284;Отсутствует
105297;-
105297;-
105309;-
105309;-
105319;размещался без уведомления
105319;размещался без уведомления
105323;Отсутствует
105323;Отсутствует
105324;26.06.2020
105324;17.07.2020
105347;не размещалось
105347;не размещалось
105349;26 июня 2020 г.
105349;10 июля 2020 г.
105354;отсутствует
105354;отсутствует
105364;отсутствует
105364;отсутствует
105368;26,06,2020
105368;10.07.2020
105388;-
105388;-
105394;-
105394;-
105402;-
105402;-
105403;-
105403;-
105404;нет
105404;нет
105406;не размещался
105406;не размещался
105408;-
105408;-
105410;Уведомление не размещалось.
105410;Уведомление не размещалось.
105412;Нет.
105412;Нет.
105430;29.06.2020
105430;17.07.2020
105432;-
105432;-
105437;29.06.2020
105437;17.07.2020
105447;-
105447;-
105448;29.06.2020
105448;17.07.2020
105451;Отсутствует
105451;Отсутствует
105456;нет
105456;нет
105458;--
105458;--
105462;отсутствует
105462;отсутствует
105474;Отсутствует
105474;Отсутствует
105479;-
105479;-
105480;-
105480;-
105484;-
105484;-
105485;-
105485;-
105486;-
105486;-
105497;-
105497;-
105502;-
105502;-
105504;-
105504;-
105506;30.06.2020
105506;28.07.2020
105507;Отсутствует
105507;Отсутствует
105510;-
105510;-
105517;-
105517;-
105526;-
105526;-
105535;Нет.
105535;Нет.
105537;нет
105537;нет
105545;-
105545;-
105547;-
105547;-
105552;Нет
105552;Нет
105565;Информация уточняется
105565;Информация уточняется
105572;отсутствует
105572;отсутствует
105575;Уведомление не размещалось
105575;Уведомление не размещалось
105578;02.07.2020
105578;12.07.2020
105593;30.06.2020
105593;30.06.2020
105595;03.07.2020
105595;17.07.2020
105597;нет
105597;нет
105600;-
105600;-
105601;« 03 » июля 2020 г.
105601;« 16 » июля 2020 г.
105602;03.07.2020
105602;16.07.2020
105606;-
105606;-
105608;-
105608;-
105621;уведомление не размещалось
105621;уведомление не размещалось
105624;нет
105624;нет 
105632;Информация уточняется
105632;Информация уточняется
105639;-
105639;-
105643;-
105643;-
105646;отсутствует
105646;отсутствует
105661;23.06.2020
105661;23.06.2020
105662;.
105662;.
105664;.
105664;.
105666;-
105666;-
105674;-
105674;-
105685;нет
105685;нет
105692;Нет.
105692;Нет.
105693;07.07.2020
105693;20.07.2020
105695;-
105695;-
105709;-
105709;-
105715;-
105715;-
105717;21.07.2020
105717;-
105719;21.07.2020
105719;-
105732;-
105732;-
105737;-
105737;-
105746;-
105746;-
105749;-
105749;-
105763;нет
105763;нет
105779;-
105779;-
105812;13.02.2019
105812;27.02.2019
105823;Обсуждение уведомления не проводилось
105823;Обсуждение уведомления не проводилось
105827;Уведомление не размещалось
105827;Уведомление не размещалось
105828;Уведомление не размещалось
105828;Уведомление не размещалось
105830;10 июля 2020 г.
105830;23 июля 2020 г.
105831;нет
105831;нет
105837;-
105837;-
105848;-
105848;-
105865;10.08.2020
105865;23.08.2020
105866;-
105866;-
105879;Нет
105879;Нет
105886;13.02.2019
105886;27.02.2019
105889;13.07.2020
105889;24.07.2020
105920;13.07.2021
105920;24.07.2021
105922;13.07.2020
105922;07.08.2020
105929;Отсутствует
105929;Отсутствует
105933;-
105933;-
105938;нет
105938;нет
105939;-
105939;-
105947;-
105947;-
105950;отсутствует
105950;отсутствует
105952;уведомление не размещалось
105952;уведомление не размещалось
105960;14.07.2020
105960;27.07.2020
105966;-
105966;-
105975;отсутствует 
105975;отсутствует 
105980;нет
105980;нет
105985;-
105985;-
105995;нет
105995;нет
105999;-
105999;-
106009;-
106009;-
106010;отсутствует
106010;отсутствует
106011;-
106011;-
106012;-
106012;-
106013;информация уточняется
106013;информация уточняется
106021;отсутствует
106021;отсутствует
106024;Не размещалось
106024;Не размещалось
106036;-
106036;-
106039;Нет
106039;Нет
106043;-
106043;-
106044;16.07.2020
106044;30.07.2020
106045;уведомление не размещалось
106045;уведомление не размещалось
106046;-
106046;-
106047;-
106047;-
106050;Отсутствует
106050;Отсутствует
106053;-
106053;-
106056;нет
106056;нет
106058;-
106058;-
106060;Отсутствует
106060;Отсутствует
106062;-
106062;-
106065;17/07/2020
106065;29/07/2020
106066;16/07/2020
106066;29/07/2020
106070;17/07/2020
106070;29/07/2020
106071;16.07.2020
106071;29.07.2020
106072;Отсутствует
106072;Отсутствует
106074;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
106074;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
106076;Уведомление не проводилось
106076;Уведомление не проводилось
106077;-
106077;-
106080;-
106080;-
106082;Отсутствует
106082;Отсутствует
106083;17.07.2020
106083;-
106093;-
106093;-
106107;-
106107;-
106108;17.07.2020
106108;-
106114;-
106114;-
106116;Отсутствует
106116;Отсутствует
106120;Уведомление не размещалось
106120;Уведомление не размещалось
106123;17.07.2020
106123;-
106124;17.07.2020
106124;-
106132;-
106132;-
106140;-
106140;-
106143;-
106143;-
106149;отсутствует
106149;отсутствует
106152;21.07.2020
106152;-
106155;23.10.2019
106155;06.11.2019
106156;«20» июля 2020 г.
106156;«31» июля 2020 г.
106160; 
106160; 
106161;-
106161;-
106164; 
106164; 
106167;20.07.2020
106167;10.08.2020
106174;-
106174;-
106177;21.07.2020
106177;11.08.2020
106180;июль 2020
106180;декабрь 2020
106182;-
106182;-
106183;---
106183;---
106184;-
106184;-
106185;-
106185;-
106186;28.07.2020
106186;-
106189;-
106189;-
106191;уведомление не размещалось
106191;уведомление не размещалось
106194;нет
106194;нет
106202;-
106202;-
106204;-
106204;-
106208;21.07.2020
106208;03.08.2020
106214;Разработчиком принято решение не размещать уведомление
106214;Разработчиком принято решение не размещать уведомление
106218;Не размещалось
106218;Не размещалось
106223;-
106223;-
106224;Разработчиком принято решение уведомление не размещать
106224;Разработчиком принято решение уведомление не размещать
106233;Уведомление проекта постановления не проводилось по решению разработчика в связи с отсутствием необходимости
106233;Уведомление проекта постановления не проводилось по решению разработчика в связи с отсутствием необходимости
106235;-
106235;-
106237;-
106237;-
106242;Отсутствует
106242;Отсутствует
106243;-
106243;-
106244;Разработчиком принято решение не размещать уведомление
106244;Разработчиком принято решение не размещать уведомление
106245;нет
106245;нет
106257;22.07.2020
106257;11.08.2020
106265;Размещение уведомления не проводилось
106265;Размещение уведомления не проводилось
106279;-
106279;-
106282;-
106282;-
106285;-
106285;-
106288;-
106288;-
106292;-
106292;-
106295;23.07.2020
106295;05.08.2020
106303;-
106303;-
106305;отсутствует
106305;отсутствует
106312;-
106312;-
106322;-
106322;-
106326;нет
106326;нет
106328;-
106328;-
106332;-
106332;-
106335;-
106335;-
106343;-
106343;-
106345;24.07.2020
106345;13.08.2020
106346;информация уточняется
106346;информация уточняется
106356;08.05.2020
106356;22.05.2020
106359;уведомление не размещалось
106359;уведомление не размещалось
106361;-
106361;-
106363;нет
106363;нет
106368;отсутствует
106368;отсутствует
106369;Информация отсутствует
106369;Информация отсутствует
106372;-
106372;-
106380;-
106380;-
106382;уведомление не размещалось
106382;уведомление не размещалось
106397;отсутствует 
106397;отсутствует
106400;-
106400;-
106407;Нет
106407;Нет
106408;-
106408;-
106409;-
106409;-
106413;-
106413;-
106436;отсутствует
106436;отсутствует
106459;-
106459;-
106471;-
106471;-
106473;-
106473;-
106476;отсутствует
106476;отсутствует
106477;-
106477;-
106481;-
106481;-
106484;уведомление не размещалось
106484;уведомление не размещалось
106488;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106488;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106491;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106491;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106507;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106507;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106519;29.07.2020
106519;18.08.2020
106522;29.07.2020
106522;18.08.2020
106533;29.07.2020
106533;12.08.2020
106537;-
106537;-
106556;-
106556;-
106574;-
106574;-
106577;Не применимо
106577;Не применимо
106586;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106586;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106587;30.07.2020
106587;12.08.2020
106596;Не применимо
106596;Не применимо
106600;отсутствует
106600;отсутствует
106624;-
106624;-
106628;Отсутствует
106628;Отсутствует
106632; 
106632; 
106642;31.07.2020
106642;20.08.2020
106645;-
106645;-
106647;03.08.2020
106647;21.08.2020
106661;-
106661;-
106670;31.07.2020
106670;20.08.2020
106684;12.11.2020 г. 
106684;25.11.2020 г.
106688;02.08.2020
106688;13.08.2020
106689;09.03.2021
106689;17.03.2021
106691;2.08.2020 г.
106691;13.08.2020 г. 
106692;02.08.2020
106692;13.08.2020
106693;02.08.2020
106693;13.08.2020
106694;02.08.2020
106694;14.08.2020
106695;17.03.2021
106695;30.03.2021
106696;2 августа 2020 года
106696;13 августа 2020 года
106713;03.08.2020
106713;18.08.2020
106718;-
106718;-
106721;3 августа 2020 г.
106721;14 августа 2020 г.
106725;-
106725;-
106729;Не размещался 
106729;Не размещался
106731;-
106731;-
106747;03.08.2020
106747;14.08.2020
106764;-
106764;-
106765;Информация отсутствует
106765;Информация отсутствует
106766;-
106766;-
106777; 
106777; 
106783;Нет.
106783;Нет.
106790;Отсутствует
106790;Отсутствует
106792;Нет.
106792;Нет.
106793;Отсутствует
106793;Отсутствует
106799;10 дней
106799;14.08.2020
106803;04.08.2020
106803;24.08.2020
106806;-
106806;-
106816;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106816;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106817;информация уточняется
106817;информация уточняется
106836;уведомление не размещалось
106836;уведомление не размещалось
106842;-
106842;-
106843;нет
106843;нет
106845;05.08.2020
106845;19.08.2020
106849;-
106849;-
106853;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
106853;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
106864;Уведомление не размещалось
106864;Уведомление не размещалось
106867;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
106867;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
106872;06.08.2020
106872;19.08.2020
106889;-
106889;-
106891;-
106891;-
106892;нет
106892;нет
106905;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106905;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
106906;-
106906;-
106910;Принято решение уведомление не размещать
106910;Принято решение уведомление не размещать
106913;не размещалось
106913;не размещалось
106915;07.08.2020
106915;26.08.2020
106925;18.11.2019
106925;29.11.2019
106927;отсутствует
106927;отсутствует
106928;-
106928;-
106929;-
106929;-
106944;-
106944;-
106950;Отсутствует
106950;Отсутствует
107044;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107044;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107051;-
107051;-
107060;10.08.2020
107060;28.08.2020
107065;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
107065;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
107069;-
107069;-
107075;Обсуждение уведомления не проводилось
107075;Обсуждение уведомления не проводилось
107078;-
107078;-
107084;_
107084;_
107094;-
107094;-
107095;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107095;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107105;отсутствует
107105;отсутствует
107106;-
107106;-
107109;-
107109;-
107110;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
107110;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
107111;11.08.2020
107111;24.08.2020
107126;-
107126;-
107128;-
107128;-
107132;Информация уточняется
107132;Информация уточняется
107133;-
107133;-
107136;12.08.2020
107136;25.08.2020
107162;12.08.2020
107162;08.09.2020
107163;-
107163;-
107165;-
107165;-
107166;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
107166;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
107181;-
107181;-
107202;-
107202;-
107203;Нет
107203;Нет
107205;13.08.20 
107205;26.08.20
107211;-
107211;-
107219;-
107219;-
107226;уведомление не размещалось
107226;уведомление не размещалось
107259;-
107259;-
107261;Уведомление не размещалось
107261;Уведомление не размещалось
107263;нет
107263;нет
107264;-
107264;-
107272;-
107272;-
107274;-
107274;-
107276;Отсутствует
107276;Отсутствует
107280;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
107280;Уведомление не проводилось по решению разработчика в связи с отсутствием необходимости
107281;«14» августа 2020 г.
107281;«27» августа 2020 г.
107301;нет
107301;нет
107305;-
107305;-
107309;уведомление не размещалось
107309;уведомление не размещалось
107317;-
107317;-
107323;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107323;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107326;нет
107326;нет
107328;-
107328;-
107335;18.08.2020
107335;28.08.2020
107345;18.08.2020
107345;08.09.2020
107350;18.08.2020
107350;07.09.2020
107354;нет
107354;нет
107355;Отсутствует
107355;Отсутствует
107361;Отсутствует
107361;Отсутствует
107362;-
107362;-
107368;..
107368;.
107375;-
107375;-
107381;нет
107381;нет
107403;Уведомление не размещалось
107403;Уведомление не размещалось
107406;-
107406;-
107407;Уведомление не размещалось
107407;Уведомление не размещалось
107420;-
107420;-
107423;-
107423;-
107432;Отсутствует
107432;Отсутствует
107438;21.08.2020
107438;03.09.2020
107439;Этап уведомления отсутствует.
107439;Этап уведомления отсутствует.
107444;-
107444;-
107445;08.07.2020
107445;06.08.2020
107453;-
107453;-
107456;нет
107456;нет
107488;-
107488;-
107498;24.08.2020
107498;04.09.2020
107501;24.08.2020
107501;07.09.2020
107521;отсутствует
107521;отсутствует
107522;"Отсутствует

"
107522;"Отсутствует

"
107532;-
107532;-
107541;-
107541;-
107548;-
107548;-
107549;Уведомление не размещалось
107549;Уведомление не размещалось
107551;26 августа 2020 г.
107551;9 сентября 2020 г.
107556;"
-"
107556;"
-"
107565;24 июля 2020 года
107565;24 августа 2020 года
107569;-
107569;-
107579;-
107579;-
107580;-
107580;-
107585;-
107585;-
107589;26.08.2020
107589;08.09.2020
107590;Отсутствует
107590;Отсутствует
107592;отсутствует
107592;отсутствует
107608;-
107608;-
107612;-
107612;-
107614;Обсуждение уведомления не проводилось
107614;Обсуждение уведомления не проводилось
107616;-
107616;-
107617;Уведомление не размещалось
107617;Уведомление не размещалось
107643;-
107643;-
107646;21.08.2020
107646;21.08.2020
107647;-
107647;-
107649;Нет
107649;Нет
107651;уведомление не размещалось
107651;уведомление не размещалось
107655;уведомление не размещалось.
107655;уведомление не размещалось.
107656;Без уведомления
107656;Без уведомления
107657;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107657;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107658;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107658;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107660; 
107660; 
107663;1 сентября 2020 г.
107663;14 сентября 2020 г.
107692;-
107692;-
107698;нет
107698;нет
107699;-
107699;-
107706;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107706;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107709;-
107709;-
107718;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107718;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107719;0
107719;0
107721;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107721;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107723;31 августа 2020 г.
107723;11 сентября 2020 г.
107732;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107732;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107738;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107738;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107753;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107753;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107754;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107754;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107756;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107756;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107773;-
107773;-
107774;уведомление не размещалось
107774;уведомление не размещалось
107789;отсутствует
107789;отсутствует
107795;информация уточняется
107795;информация уточняется
107804;14.05.2019
107804;25.06.2019
107814;-
107814;-
107821;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107821;Размещение проекта приказа Минтруда России выполнено без этапа уведомления
107833;нет
107833;нет
107839;-
107839;-
107859;нет
107859;нет
107860;-
107860;-
107866;-
107866;-
107870;-
107870;-
107871;-
107871;-
107891;06.08.2020
107891;20.08.2020
107894;-
107894;-
107897;29.07.2020
107897;12.08.2020
107914;Не применимо
107914;Не применимо
107916;-
107916;-
107938;Нет данных.
107938;Нет данных.
108034;-
108034;-
108038;17.08.2020, 7.09.2020
108038;31.08.2020, 8.09.2020
108040;-
108040;-
108041;7.09.2020
108041;8.09.2020
108042;7.09.2020
108042;8.09.2020
108051;-
108051;-
108057;-
108057;-
108074;отсутствует
108074;отсутствует
